IP地址,端口,TLS,数据中心,地区,城市,ASN,网络延迟
212.80.213.45,31244,#X,SIN,Asia Pacific,Singapore,56309,17 ms
128.1.79.171,587,#X,BKK,Asia Pacific,Bangkok,135377,18 ms
150.95.25.108,8443,#X,BKK,Asia Pacific,Bangkok,135161,21 ms
150.95.25.108,2053,#X,BKK,Asia Pacific,Bangkok,135161,23 ms
171.103.14.137,32700,#X,BKK,Asia Pacific,Bangkok,7470,24 ms
171.103.16.153,10252,#X,BKK,Asia Pacific,Bangkok,7470,25 ms
8.213.224.55,587,#X,SJC,North America,San Jose,45102,27 ms
31.192.238.71,2053,#X,SIN,Asia Pacific,Singapore,44493,43 ms
194.127.193.240,50791,#X,SIN,Asia Pacific,Singapore,59253,45 ms
213.35.125.129,6434,#X,SIN,Asia Pacific,Singapore,31898,46 ms
213.35.107.73,443,#X,SIN,Asia Pacific,Singapore,31898,48 ms
194.36.178.36,8443,#X,SIN,Asia Pacific,Singapore,200740,49 ms
143.42.66.91,443,#X,SIN,Asia Pacific,Singapore,63949,50 ms
139.162.33.248,587,#X,SIN,Asia Pacific,Singapore,63949,51 ms
13.229.159.215,443,#X,SIN,Asia Pacific,Singapore,16509,51 ms
209.182.237.252,8080,#X,SIN,Asia Pacific,Singapore,29802,51 ms
43.156.181.203,443,#X,SIN,Asia Pacific,Singapore,132203,51 ms
168.138.184.142,19191,#X,SIN,Asia Pacific,Singapore,31898,52 ms
31.192.238.71,8443,#X,SIN,Asia Pacific,Singapore,44493,53 ms
168.138.166.213,10500,#X,SIN,Asia Pacific,Singapore,31898,54 ms
3.1.116.161,8443,#X,SIN,Asia Pacific,Singapore,16509,55 ms
128.199.171.100,8443,#X,SIN,Asia Pacific,Singapore,14061,55 ms
129.150.41.174,16462,#X,SIN,Asia Pacific,Singapore,31898,55 ms
13.250.38.94,443,#X,SIN,Asia Pacific,Singapore,16509,55 ms
213.35.115.254,23936,#X,SIN,Asia Pacific,Singapore,31898,56 ms
139.162.48.174,10000,#X,SIN,Asia Pacific,Singapore,63949,57 ms
